Country Code;Country Name;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;1959;1958;1957;1956;1955;1954;1953;1952;1951;1950;1949;1948;1947;1946;1945;1944;1943;1942;1941;1940;1939;1938;1937;1936;1935;1934;1933;1932;1931;1930;1929;1928;1927;1926;1925;1924;1923;1922;1921;1920;1919;1918;1917;1916;1915;1914;1913;1912;1911;1910;1909;1908;1907;1906;1905;1904;1903;1902;1901;1900
CZE;CZECH REP;;1300000;0;;1400;14462;0;0;4315;3;;0;200000;;0;;0;102107;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNK;DENMARK;;0;;;0;;;0;;0;;;0;;;0;;;;;;;0;;0;;;;;0;;0;;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DJI;DJIBOUTI;;;;;200258;;340000;43312;;150000;100000;;;100000;419;;2000;827;100000;775;120239;20000;;;;150300;30000;;;;;80000;;102000;145000;;106000;91000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DMA;DOMINICA;;;;240;;;;7530;;;100;;;175;;715;;;;5001;;;;;;710;;;;;10000;;;;0;72100;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOM;DOMINICAN REP;;0;83175;55420;64521;17835;17002;162763;;2450;24261;77478;1750;0;;0;975595;;26000;4082;;20000;0;0;;0;1191150;0;2000;895;;0;;150000;0;1555000;0;;;;;;;;;;240000;;12942;0;0;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;12000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU;ECUADOR;;28732;80772;3750;13440;119307;289122;;357933;;;32905;204383;32300;100637;24200;2051;83007;30705;4289;0;75065;205000;15131;6510;30000;;166006;;800;;200000;700000;;40;;;300;45000;0;;30000;;2406;238712;40000;;21028;0;50000;600000;;;;;;;;;;;0;;;0;100000;;;;;;;0;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;0;;0;;;;
EGY;EGYPT;;;;;3540;;697;;23;;162;;1120;;105;;;60;260;3069;160660;300;92649;208;;;;11;;;;;;;;81000;;;;0;;;;;;;;;;;;;;;;;;;;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;
SLV;EL SALVADOR;;63079;;300000;12020;94598;3000;3300;16470;77224;;50000;2999;1991550;711;5450;85670;2000;0;10796;0;0;8350;5625;;0;39060;;770000;;;;100500;;;;;;;;;;;;;4659;;;;139720;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;
GNQ;EQUATORIAL GUINEA;;;;;;;;;;;946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ERI;ERITREA;;;;;;;1700000;;;;7013;0;;;;2300000;;;;0;;1615675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EST;ESTONIA;;;0;;;;;;0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETH;ETHIOPIA;;51788;1000000;4845879;81667;6213652;6519574;247386;466994;2852382;;12710000;4000;47666;37203;5047531;0;1051222;115000;93875;43043;34800;0;0;350000;6500000;88544;7000000;0;32815;;7750000;;70000;25000;;1000;16000;70000;;;3000000;;;4000;1700585;16000;;;1500000;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;;0;0;;;;;;;0;;;;;;
FJI;FIJI;;;27945;;39101;14401;0;969;392;0;5600;30000;;0;0;1772;263455;3500;;;;160003;2000;;6000;0;;3369;218000;122000;;242146;;4700;35250;35900;0;;;23000;;6150;120000;;;;;;;10000;18000;;;;;;0;;;;;;800;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIN;FINLAND;;;;;;;;;;400;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRA;FRANCE;1000;2000;0;2300;500079;200;2706;900;602;4000;0;30080;3733;17302;2519;3504402;711;11259;1380;5000;410;1720;2000;0;0;0;300;0;2000;130;0;3732;18;0;313;2;1000;25000;0;;;;;;37;0;;0;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;
GUF;FRENCH GUIANA;;;;;;;;;;;;;;;;;;;70000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYF;FRENCH POLYNESIA;;;;;3411;;;;;;;;;;;;511;;;;;;;;;;;0;;;;5050;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GAB;GABON;;;77845;;4081;800;;17900;;;100;;;10;;;;;15;;0;;;;;;10132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMB;GAMBIA THE;;3300;428000;;38961;16608;700;300;;;6137;8019;0;250;116;32000;;793;4000;;;;;;;;0;0;0;;;;;;500000;;0;0;;;;5000;;150000;;;180000;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;
GEO;GEORGIA;;26750;106036;1750;;7306;;;600;2500;90;;19156;900;696000;;;500;;300;;;10;3740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEU;GERMANY;;6352;0;0;0;0;0;130;1300;617;150;9;330727;0;;100000;15;5200;0;30000;0;100000;1525;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEU;GERMANY DEM REP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEU;GERMANY FED REP;;;;;;;;;;;;;;;;;;;;;;;;0;;;3500;;;0;250;12;;;;0;235;;0;;0;;0;;;;0;;;;;;0;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;
GHA;GHANA;;25560;5441;104046;17274;159545;58000;332600;;2248;;;2200;145166;;325798;1546;159;3757;700000;;;;2000000;;2819;138;;;1500;1500;12500000;;;;;;6558;;;;;;12000;;;25000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC;GREECE;2023;;200;;150;1040;3708;5996;3690;;0;500;569;1350;7485;115139;1200;0;1500;30974;1000;2121;;0;61;;25;0;45300;186;200;487;;80850;17;0;600100;1600;;;;;;;;;7618;16583;26173;30253;;;;0;;;;;0;;200;0;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
